Description,Actual_cate,Predicted_cate
change hello has tried change myself has failed errors please make change regards,4,4
hi please log assign thank thursday pm item publicly hello please log assign queue thank senior engineer re item publicly ne si pm re item publicly se pare ca problem se si si name si friday pm re item publicly se pare ca la problem care resolve cat si lung se la number name number number friday pm item publicly hello please log assign queue thank senior engineer re item publicly se pare ca mea si design lead friday pm re item publicly conform design lead thursday re item publicly wednesday july pm re item publicly se best regards senior engineer re item publicly additional comment added si la july pm re item publicly additional comment added best regards senior engineer re item publicly additional comment added inca tine si mobil ad oh july pm re item publicly additional comment added si port si best regards senior engineer re item publicly additional comment added tine ti paternal si el ne la merge la setup merge browser intra ca fie ne please urgent wednesday pm re item publicly additional comment added care public public care maine cr best regards senior engineer re item publicly additional comment added merci ne setup ca si ne fie care merci tuesday pm re item publicly additional comment added public failed authorization procedure urn acme error connect client verify problem looking problem looking maine test best regards senior engineer re item publicly additional comment added let encrypt name care exterior let encrypt automatically create simple port prove control let encrypt care name si certificate tuesday re item publicly additional comment added si proxy pot let encrypt best regards senior engineer re item publicly additional comment added merci wednesday pm re item publicly additional comment added ca fie premise si si si ca premise exact ne pot va re item publicly additional comment added ca certificate la let encrypt se pare ca si ne,0,0
thursday pm area hi please secure area tower confirmation move floor spare thank regards officer,1,1
running slow freezes crashed responds with high delays please can you look into for,3,3
sent monday forbidden software hi have checked report with forbidden software generated please find report here looks like there still some colleagues having games or based file sharing file store clients installed assets can you please send another reminder ask them remove these forbidden applications thanks,3,3
sent july access space morning seems card work access space th floor your help would be greatly appreciated thanks,2,2
sent friday february behavior web access hi please raise ticket for weakness observation below escalate for attention told web app interface servers does suffer same weakness would understand why ours does know whether can be fixed or kind regards sent february behavior web access hi was pointed attention following behavior open open leave computer unattended for minutes come back you can navigate through them etc you cannot send if you click refresh you asked for your credentials checked another laptop behavior even after session timeout you still able you required for password until refresh send or opening folders previously loaded know we have lock screen policy but if followed weakness can be exploited,2,2
purchase po dear purchased mice wireless mouse cables please log allocation after receive item please take consideration mandatory receipts section order receive item ordered how video link please receipt number item needed processed thank kind regards administrator,3,3
friday pm cards usage hi please assign order cards defined control which were more than days cards find out these cards were thanks,1,1
hi we have hosts test environments for name performance quite unstable past weeks machine crashes few times per week we need restart slows down our daily tasks access externalized client also using could you please take look if there anything we can improve stabilize performance thanks,0,0
thursday personal cur bun cur dup cum mb spa la,1,1
usage dear please approve usage kind specialist,4,4
re date updates dear please advised joining thank lead re date updates importance high dear please note date has pushed back he starting exact date more information let thank lead tuesday pm re starter form complete section completed dear complete document section completed remains unchanged thank lead tuesday starter form complete dear please help completed form joining ny thank lead,4,4
re updated hello sorry bother yet currently view table under sow va add back teams contract client ask other permission thanks help kind regards officer,4,4
friday march pm cards usage hi please offices each location course assign teams order cards defined control which were more than days cards find out these cards were members please response relevant evidence print screens reports extracted application etc thanks,1,1
original message sent thursday la,2,2
production dear please initiate clarify status virtual production test records after updates setup running senior consultant,0,0
backpack hello received backpack purchase requested instructed ticked backpack thank senior tester,3,3
snow licence dear license she joiner thank best regards engineer,4,4
sent friday december belgrade november critical high results hi can you please raise tickets relevant teams guess investigate hopefully fix vulnerabilities identified belgrade assets attached results vulnerability scans performed there recently appreciate apache maybe other product reported vulnerabilities might be false positives due old version being reports for package editions into later patches have back ported kind regards information compliance officer extension or,0,0
